id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
2059364940,Bernd St from Zelda Way to Michigan St,4th Division,1988-01-01,Concrete,70,17,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bernd_St_from_Zelda_Way_to_Michigan_St.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-21,40.41574166,-79.99821771
345831275,Bernhardt Way from Harry St to Webster St,3rd Division,,Wood,35,11,0,100,215,3,3,9,5,https://tools.wprdc.org/images/pittsburgh/steps/Bernhardt_Way_from_Harry_St_to_Webster_St.jpg,Upper Hill,6,5,42003050600,3,5,2,2-24,40.45672257,-79.95669132
1853196305,Berwick St from Chatsworth St to Monongahela St,3rd Division,1947-01-01,Concrete,254,54,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Berwick_St_from_Chatsworth_St_to_Monongahela_St.jpg,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41337318,-79.94418127
626881503,Berwick St from Monongahela St to Sylvan Ave,3rd Division,1947-01-01,Concrete,246,64,1,2,302,59,4,5,4,https://tools.wprdc.org/images/pittsburgh/steps/Berwick_St_from_Monongahela_St_to_Sylvan_Ave.jpg,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41367539,-79.94330319
1906621722,Bigelow Blvd at Frank Curto Park,1st Division,,Concrete,154,65,0,100,15,0,1,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Bigelow_Blvd_at_Frank_Curto_Park.jpg,Strip District,7,2,42003020300,6,2,2,2-6,40.45193634,-79.97661631
1313957774,Bigelow Blvd Opposite Frank Curto Park,3rd Division,1949-01-01,Concrete,335,115,0,100,112,0,1,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Bigelow_Blvd_Opposite_Frank_Curto_Park.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.45022989,-79.97900184
1908042348,Bigger St from Seabolt Way to Montooth St,4th Division,,Brick,140,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bigger_St_from_Seabolt_Way_to_Montooth_St.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-16,40.41525629,-80.0061674
863355450,Bigger St from Taft Ave,4th Division,,Brick,15,12,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bigger_St_from_Taft_Ave.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-16,40.41514313,-80.0073417
456495334,Bigger St from Taft Ave to Seabolt Way,4th Division,,Brick,138,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bigger_St_from_Taft_Ave_to_Seabolt_Way.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-16,40.41525034,-80.0067838
1433156078,Biggs Ave from Glenrose St to Pedder Way,1st Division,1946-01-01,Concrete,174,53,0,100,421,33,3,5,4,https://tools.wprdc.org/images/pittsburgh/steps/Biggs_Ave_from_Glenrose_St_to_Pedder_Way.jpg,Fineview,1,25,42003250900,1,25,1,1-10,40.46526677,-80.00575306
1697071823,Birchland St from Bellaire Pl to Dahlia Way,4th Division,,Concrete,118,21,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Birchland_St_from_Bellaire_Pl_to_Dahlia_Way.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39330379,-80.009463
2114026238,Birchland St from Brookline Blvd to Fitch Way,4th Division,,Concrete,111,0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Birchland_St_from_Brookline_Blvd_to_Fitch_Way.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39256312,-80.0093526
491538370,Birchland St from Fitch Way to Bellaire Pl,4th Division,,Concrete,115,0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Birchland_St_from_Fitch_Way_to_Bellaire_Pl.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39291449,-80.00938344
67822743,Blanton St from Minnesota St,3rd Division,1931-01-01,Concrete,9,5,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Blanton_St_from_Minnesota_St.jpg,Greenfield,5,15,42003151700,3,15,4,2-12,40.42434972,-79.93836151
480412872,Blanton St to Minnesota St,3rd Division,1931-01-01,Concrete,63,19,0,100,1088,168,10,7,9,https://tools.wprdc.org/images/pittsburgh/steps/Blanton_St_to_Minnesota_St.jpg,Greenfield,5,15,42003151700,3,15,4,2-12,40.42447377,-79.93830653
2007855380,Bluebelle St from Perrysville Ave to Amos Way,1st Division,,Wood,145,61,1,2,499,81,4,3,2,https://tools.wprdc.org/images/pittsburgh/steps/Bluebelle_St_from_Perrysville_Ave_to_Amos_Way.jpg,Perry North,1,26,42003260200,1,26,1,1-15,40.4944715,-80.0207542
1819976926,Blvd of the Allies From Parkview Ave to Juno St,3rd Division,,Wood,82,73,0,100,1329,103,10,10,10,https://tools.wprdc.org/images/pittsburgh/steps/Blvd_of_the_Allies_From_Parkview_Ave_to_Juno_St.jpg,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43444274,-79.9515193
1689856118,Bly St from Royal St to Dead End,1st Division,1949-01-01,Concrete,130,48,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bly_St_from_Royal_St_to_Dead_End.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46732231,-79.99803584
1298217489,Bodkin St to Brookline Blvd,DOMI - Signs and Markings,,Wood,30,21,1,10,1068,204,10,9,10,https://tools.wprdc.org/images/pittsburgh/steps/Bodkin_St_to_Brookline_Blvd.jpg,Brookline,4,19,42003191900,5,19,6,4-26,40.39626449,-80.02386367
925841624,Boulder Way from Christy St to Glen Mawr St,5th Division,1947-01-01,Concrete,98,,0,100,682,0,5,7,5,https://tools.wprdc.org/images/pittsburgh/steps/Boulder_Way_from_Christy_St_to_Glen_Mawr_St.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45937213,-80.05487374
2056686793,Boulder Way from Stafford St to Christy St,5th Division,1947-01-01,Concrete,108,,0,100,647,0,4,6,4,https://tools.wprdc.org/images/pittsburgh/steps/Boulder_Way_from_Stafford_St_to_Christy_St.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.4595696,-80.05453333
431720845,Boustead St from Broadway Ave,5th Division,,Concrete,530,76,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Boustead_St_from_Broadway_Ave.jpg,Beechview,2,20,42003192000,5,20,6,4-28,40.405305,-80.03079403
2139916971,Boustead St from Hillgrove Ave,5th Division,,Concrete,135,59,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Boustead_St_from_Hillgrove_Ave.jpg,Beechview,2,20,42003192000,5,20,6,4-28,40.40496406,-80.03208146
576370457,Brereton St from Herron Ave,3rd Division,,Concrete,12,7,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Brereton_St_from_Herron_Ave.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45669017,-79.96539376
1970851874,Brereton St to Phelan Way,3rd Division,1951-01-01,Concrete,116,,1,9,830,69,8,7,10,https://tools.wprdc.org/images/pittsburgh/steps/Brereton_St_to_Phelan_Way.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45641695,-79.9674908
1912335213,Brighton Heights Blvd,1st Division,,Concrete,53,24,1,9,625,209,10,10,6,https://tools.wprdc.org/images/pittsburgh/steps/Brighton_Heights_Blvd.jpg,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47957414,-80.04282107
127845340,Brossville St at E Warrington Ave,4th Division,,Concrete,12,7,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Brossville_St_at_E_Warrington_Ave.jpg,Allentown,3,18,42003180300,5,18,3,4-6,40.42185326,-79.99169403
2104739584,Brownsville Rd and Knox Ave,4th Division,,Concrete,10,2,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Brownsville_Rd_and_Knox_Ave.jpg,Knoxville,3,30,42003300100,5,30,3,4-7,40.41075987,-79.99029595
1738105971,Brushton Ave and Monticello St,Construction,1945-01-01,Concrete,333,173,2,10,975,136,10,8,10,https://tools.wprdc.org/images/pittsburgh/steps/Brushton_Ave_and_Monticello_St.jpg,Homewood North,9,13,42003130100,2,13,5,3-17,40.45811235,-79.88763551
161796133,Bryn Mawr Rd at Centre Ave,3rd Division,,Concrete,25,6,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Bryn_Mawr_Rd_at_Centre_Ave.jpg,Upper Hill,6,5,42003050600,3,5,2,2-23,40.44918551,-79.9575808
615475645,Bryn Mawr Rd to Clarissa St,3rd Division,1949-01-01,Concrete,215,69,1,9,1075,119,9,6,9,https://tools.wprdc.org/images/pittsburgh/steps/Bryn_Mawr_Rd_to_Clarissa_St.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45303447,-79.96072174
